Rapport sur le planning individuel,,SG_fichier pour LM Planning individuel full periode de planif,,,,,,,
Période (dates) :,,6/26/17 - 7/9/17,,,,,,,
Site,Fuseau horaire,Equipe,ID employé,Agent,Date,Heures payées,Etat du planning,Heure de début :,Heure de fin :
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,1:00 PM,1:57 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,1:57 PM,5:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,5:00 PM,5:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,5:15 PM,7:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,6/30/17,7:48,SG- Telephone 3933_SG CRC Nanterre,8:00 AM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,8:00 AM,9:00 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,9:00 AM,9:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,9:15 AM,1:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,1:00 PM,1:57 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,1:57 PM,3:55 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,3:55 PM,4:10 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,4:10 PM,4:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/1/17,7:48,"SG- Campagne Sortant_SG- CRC Nanterre, SG- Telephone ",9:00 AM,5:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,9:00 AM,11:15 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,05 Pause Matin,11:15 AM,11:30 AM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Entrant S1,11:30 AM,2:00 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Repas 5h,2:00 PM,2:57 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Sortant S1,2:57 PM,4:15 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,10 Pause AM,4:15 PM,4:30 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,,,Sortant S1,4:30 PM,5:45 PM
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/2/17,,Jour de repos,,
SG- Site1,ECT,SG_CRC Site1 TC1 5j,02,JPAgent02 JPAgent02,7/3/17,,Jour de repos,,
